Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEAW,Supplies & Services,Other Services,TELFORD & WREKIN SERVICES LTD,18/11/2014,1555.28,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,A HAND SERVICES (Dyno Rod) LTD,17/11/2014,126.00,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,17/11/2014,486.42,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBA,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,17/11/2014,"1,790.79",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EEBK,Supplies & Services,Comp Software (Purch / Hire),MeteoGroup,26/11/2014,"9,675.00",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Ad-hoc Maintenance,E.ON UK LTD (HIGHWAYS LIGHTING ONLY),26/11/2014,360,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHAM,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/11/2014,126125.43,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBC,Premises-Related Expenditure,Ad-hoc Maintenance,WPD MIDLANDS NETWORKS SERVICES LTD,28/11/2014,384.17,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBM,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,18/11/2014,376877.43,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EHBM,Third Party Payments,Private Contractors,TELFORD & WREKIN SERVICES LTD,18/11/2014,735880.88,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),Micro Drainage Limited T/A XP Solutions Ltd,12/11/2014,2610,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAE,Supplies & Services,Other Grants (Expenses),Shropshire Wildlife Consultancy,03/11/2014,576,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAJ,Supplies & Services,Other Services,FITZGERALD CONTRACTORS LTD,12/11/2014,1405.2,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAK,Supplies & Services,Other Services,FITZGERALD CONTRACTORS LTD,06/11/2014,1832.56,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Employees,Staff Training,Symmons Madge Associates Ltd,03/11/2014,460,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Employees,Staff Training,Symmons Madge Associates Ltd,18/11/2014,230,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Supplies & Services,Computer Consumables,STANFORD MARSH FINANCE LTD,18/11/2014,832.13,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,ESAM,Supplies & Services,Stationery,STANFORD MARSH FINANCE LTD,18/11/2014,142.32,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,28/11/2014,3447.95,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,12/11/2014,3040.73,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Supplies & Services,Other Services,SITA UK,24/11/2014,5535.75,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Third Party Payments,Contractor Recharge,SITA UK,28/11/2014,4932.32,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,EWAD,Third Party Payments,Contractor Recharge,SITA UK,12/11/2014,4932.32,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,27/11/2014,14000,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,27/11/2014,11000,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,26/11/2014,3900,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,26/11/2014,14000,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,External Professional Fees,PELL FRISCHMANN,26/11/2014,13500,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,CH2M HILL,11/11/2014,"7,532.15",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,03/11/2014,7039.34,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,SD Land Surveys Ltd,20/11/2014,8840,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAC,Capital Expenditure,Payments to Contractor,The Knowledge Academy Limited,11/11/2014,299,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAD,Capital Expenditure,External Professional Fees,CH2M HILL,04/11/2014,1237.48,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,04/11/2014,253.23,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAF,Capital Expenditure,Payments to Contractor,CH2M HILL,04/11/2014,432.73,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,A HAND SERVICES (Dyno Rod) LTD,10/11/2014,1800,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/11/2014,8014.2,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAG,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,04/11/2014,"9,029.43",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEAQ,Capital Expenditure,Payments to Contractor,TRAVIS PERKINS TRADING (BIRMINGHAM EAST),14/11/2014,3579.2,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,18/11/2014,2172.8,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,18/11/2014,802.05,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,27/11/2014,5200,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,11/11/2014,"10,600.00",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBA,Capital Expenditure,Payments to Contractor,R W Services Contractors Limited,18/11/2014,"25,581.47",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,18/11/2014,20000,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Capital Expenditure,Payments to Contractor,Treeman Tree Care,17/11/2014,2295,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Supplies & Services,Other Materials,BONINGALE NURSERIES,28/11/2014,1817.36,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBB,Supplies & Services,Stationery,SIGNS EXPRESS (TELFORD),26/11/2014,1127,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBC,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,11/11/2014,"6,117.42",,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBC,Capital Expenditure,Payments to Contractor,UNICORN CONTAINERS LTD,19/11/2014,11047.4,,,,,,,,,
Neighbourhood & Leisure Services,Highways and Neighbourhood Management Service,WEBC,Capital Expenditure,Payments to Contractor,UNICORN CONTAINERS LTD,11/11/2014,10622.5,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,25/11/2014,565.07,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAD,Supplies & Services,Other Materials,RAP SERVICES LTD T/A TELFORD TOILET HIRE,03/11/2014,200.00,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAE,Premises-Related Expenditure,Grounds Maint - Playgrounds,T.G. Johnson Building and Landscape Limited,20/11/2014,"2,180.00",,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Other Materials,JAMES LISTER & SONS LTD,25/11/2014,113.76,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,EPAF,Supplies & Services,Sub Contractors,FITZGERALD CONTRACTORS LTD,17/11/2014,"1,076.47",,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Equipment - Hire,TRAILER AND COMPONENTS LTD,19/11/2014,257.5,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Equipment - Purchase,ERIC NEVILLE CATERING SUPPLIES LTD,26/11/2014,926,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,BACH VENTURES LTD,26/11/2014,620.00,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,Challenge Fundraising,07/11/2014,190,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Instructors Fees,CHRIS HUGHES MULTI ACTIVITY SERVICES LTD,07/11/2014,1214.33,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Other Office Expenses,Scrubadub Cleaning,19/11/2014,200.00,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Protective Clothing,MWUK Ltd,14/11/2014,126.84,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,14/11/2014,715.76,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,26/11/2014,543.64,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,BSF TRADING AS 3663,07/11/2014,842.72,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,HENLLAN BREAD (UK) LIMITED,14/11/2014,125.54,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,26/11/2014,539.87,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,14/11/2014,535.02,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,14/11/2014,418.39,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,14/11/2014,288.19,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,14/11/2014,504.68,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,26/11/2014,735.72,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Provisions,WOODWARD FOODSERVICE LTD,07/11/2014,893.03,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,DEMMA SERVICES LTD,07/11/2014,139.08,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,DMM,11/11/2014,139.08,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,Idloes Sewing Services,07/11/2014,450,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Supplies & Services,Sport Equip - Purchase,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),07/11/2014,161.14,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Fuel,WD PUGH & SONS,14/11/2014,636.27,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,14/11/2014,551.1,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,19/11/2014,140.35,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,26/11/2014,194.1,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,07/11/2014,224.7,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,GTAB,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,07/11/2014,229.35,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Swimming Pool Chemicals,BRENNTAG UK LIMITED,17/11/2014,250,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Premises-Related Expenditure,Swimming Pool Chemicals,BRENNTAG UK LIMITED,17/11/2014,120,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Chemicals/Cleaning Products,PRINCIPAL HYGIENE SYSTEMS,27/11/2014,120,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Chemicals/Cleaning Products,PRINCIPAL HYGIENE SYSTEMS,10/11/2014,240,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Chemicals/Cleaning Products,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/11/2014,179.75,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAD,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,28/11/2014,100.9,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAJ,Supplies & Services,Sport Equip - Purchase,SPORTS DIRECTORY UK,24/11/2014,192,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEAR,Supplies & Services,Provisions,Decathlon Wednesbury,24/11/2014,833.33,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEBT,Supplies & Services,Sport Equip - Purchase,Jordan Leisure Systems Ltd,24/11/2014,127.5,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Chemicals/Cleaning Products,BRENNTAG UK LIMITED,25/11/2014,533.92,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Hire,White Line (Telford) Ltd,10/11/2014,184,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECA,Supplies & Services,Equipment - Purchase,MAUDESPORT LTD,07/11/2014,605.91,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Supplies & Services,Licences,Les Mills Fitness UK Ltd,24/11/2014,150,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Supplies & Services,Licences,Les Mills Fitness UK Ltd,24/11/2014,150,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Supplies & Services,Performing Rights Fees,Les Mills Fitness UK Ltd,05/11/2014,150,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECE,Supplies & Services,Sport Equip - Purchase,Jordan Leisure Systems Ltd,24/11/2014,288,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECJ,Supplies & Services,Sport Equip - Purchase,Broxap Ltd,10/11/2014,205.68,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,25/11/2014,192.5,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,25/11/2014,263.33,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,25/11/2014,533.75,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,25/11/2014,500,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LECK,Supplies & Services,Service Contracts,FIRST POINT TENNIS COACHING LTD,25/11/2014,636.67,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Employees,Superannuation Admin,SHROPSHIRE COUNCIL,12/11/2014,858.44,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Supplies & Services,Flex Charges,CLARITY RETAIL SYSTEMS LTD,10/11/2014,-1125.16,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDH,Supplies & Services,Flex Charges,CLARITY RETAIL SYSTEMS LTD,18/11/2014,1125.16,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDJ,Supplies & Services,Legal Expenses,BEVAN BRITTAN,17/11/2014,832,,,,,,,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEDL,Supplies & Services,Sport Equip - Purchase,CONTINENTAL SPORTS PRODUCTS CO,13/11/2014,1041.6,,,,,,,,,
