Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Equipment - Hire,HSS HIRE SERVICE GROUP PLC,08/10/2014,276.91,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Equipment - Hire,OAKLEYS LTD,28/10/2014,150,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Equipment - Hire,OAKLEYS LTD,31/10/2014,350,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Equipment - Purchase,CMW Equipment Holdings Limited,28/10/2014,163.7,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Protective Clothing,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,08/10/2014,-685,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Supplies & Services,Protective Clothing,AMENITY LAND SERVICES LTD T/A MAXWELL AMENITY LTD,28/10/2014,762.25,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,28/10/2014,-219.89,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,28/10/2014,164.99,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,28/10/2014,357.52,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,28/10/2014,219.89,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,28/10/2014,172,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,28/10/2014,466.46,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,31/10/2014,107.56,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,31/10/2014,701.34,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHM,Transport-Related Expenditure,Servicing & Repairs V&P,OAKLEYS LTD,31/10/2014,577.52,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEHS,Supplies & Services,Items For Resale,AMER SPORTS UK LTD,28/10/2014,160.66,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",03/10/2014,1772.15,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",31/10/2014,2224.95,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",31/10/2014,2471.9,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIP,Supplies & Services,Payment Of Income Collected,"RED HOCKEY LTD, T/A TELFORD TIGERS",31/10/2014,2499.85,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,08/10/2014,153.95,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,08/10/2014,-153.95,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,28/10/2014,184.74,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,28/10/2014,-184.74,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,30/10/2014,-184.74,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Premises-Related Expenditure,Gas,BUDGET GAS LTD,30/10/2014,184.74,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Hire,PHS GROUP LTD,10/10/2014,200.59,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Hire,V LOCKER UK LIMITED,10/10/2014,352.25,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Purchase,ERIC NEVILLE CATERING SUPPLIES LTD,27/10/2014,148.75,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Purchase,JAMES LISTER & SONS LTD,31/10/2014,214.95,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Equipment - Purchase,JAMES LISTER & SONS LTD,31/10/2014,124.31,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,First Aid,ST JOHN AMBULANCE,10/10/2014,1320,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,First Aid,Wallace Cameron,13/10/2014,286.09,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Sport Equip - Purchase,NEW ENGLISH SKATES LTD,10/10/2014,"1,740.00",,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Sport Equip - Purchase,NEW ENGLISH SKATES LTD,10/10/2014,"2,234.50",,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Supplies & Services,Stationery,CCR,10/10/2014,132,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Third Party Payments,Contribution To Other La's,JP AUDIO VISUAL LTD,28/10/2014,210,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Third Party Payments,Contribution To Other La's,PS PROMOTIONS LTD,10/10/2014,220,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEIR,Third Party Payments,Contribution To Other La's,PS PROMOTIONS LTD,10/10/2014,165,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENN,Supplies & Services,Equipment - Purchase,IQL UK LTD,03/10/2014,585.5,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Chemicals/Cleaning Products,SP Cleaning Contractors Ltd,09/10/2014,200,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Equipment - Purchase,Shoretan Leisure,29/10/2014,327.15,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Items For Resale,ASA AWARDS,13/10/2014,213.9,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,30/10/2014,220.06,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LENP,Supplies & Services,Protective Clothing,STITCHES OF BRIDGNORTH,30/10/2014,138.18,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/10/2014,6000,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/10/2014,14000,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWC,Premises-Related Expenditure,R&M -Buildings DLO Charge,Really Epic Dog Ltd,10/10/2014,41690.64,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWE,Supplies & Services,Licences,Les Mills Fitness UK Ltd,28/10/2014,205.4,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWL,Employees,Staff Training,INSTITUTE OF SWIMMING,14/10/2014,4597.8,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWP,Supplies & Services,Chemicals/Cleaning Products,BRENNTAG UK LIMITED,09/10/2014,675.63,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWP,Supplies & Services,Chemicals/Cleaning Products,BRENNTAG UK LIMITED,10/10/2014,586.15,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWP,Supplies & Services,Chemicals/Cleaning Products,BRENNTAG UK LIMITED,14/10/2014,657,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,LEWP,Supplies & Services,Chemicals/Cleaning Products,J.A.K. WATER SYSTEMS LTD,28/10/2014,600,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Other Capital Expenditure,Footprint Interpretation Design Consultancy,17/10/2014,480,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,A HAND SERVICES (Dyno Rod) LTD,01/10/2014,490,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,ASTRAL SPECIALIST CONTRACTS LTD,23/10/2014,26175,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,01/10/2014,13024.07,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,01/10/2014,1672.1,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WEPA,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,17/10/2014,4344.63,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,14/10/2014,1971,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,JCE & SONS LTD,14/10/2014,548,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,SEVEN CONSULTING LTD,14/10/2014,495,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,14/10/2014,4308,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,14/10/2014,1464.75,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,14/10/2014,535.25,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAR,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,14/10/2014,1077,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAT,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/10/2014,249,,,
Neighbourhood & Leisure Services,Leisure Facilities & Services,WLAT,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,24/10/2014,261,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHAB,Premises-Related Expenditure,Grounds Maintenance - L&CS,THE MIDLAND NEWS ASSOCIATION LTD,24/10/2014,173.25,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHAD,Supplies & Services,Consultants Fees,JACOBS UK LIMITED,21/10/2014,7350,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHAH,Supplies & Services,Consultancy,Yotta,31/10/2014,45000,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHAW,Premises-Related Expenditure,R&M - Electrical,Telent Technology Services Ltd,09/10/2014,3382.04,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBD,Supplies & Services,Bus Shelter Refurbishment,KRM CONTRACTORS LTD,09/10/2014,620,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBD,Supplies & Services,Consultants Fees,THE MIDLAND NEWS ASSOCIATION LTD,31/10/2014,130.32,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBD,Supplies & Services,Consultants Fees,THE MIDLAND NEWS ASSOCIATION LTD,29/10/2014,123.75,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBD,Supplies & Services,Consultants Fees,THE MIDLAND NEWS ASSOCIATION LTD,31/10/2014,123.75,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBD,Supplies & Services,Other Services,ACE ENGINEERS (MORLEY) LTD,30/10/2014,2795,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBD,Supplies & Services,Other Services,KRM CONTRACTORS LTD,09/10/2014,2677,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,583.69,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,1913.41,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,583.69,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,139.99,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,583.69,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,435.65,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,995.38,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,995.38,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,435.39,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,995.38,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,16/10/2014,995.38,,,
Neighbourhood & Leisure Services,Transport and Highway Development,EHBE,Supplies & Services,Other Services,Jade Security Service Ltd,29/10/2014,482.4,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ESAB,Supplies & Services,Other Services,ALS ENVIRONMENTAL LIMITED,28/10/2014,240,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ESAB,Supplies & Services,Other Services,ALS ENVIRONMENTAL LIMITED,28/10/2014,240,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ESAB,Supplies & Services,Other Services,ALS ENVIRONMENTAL LIMITED,28/10/2014,240,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ESAB,Supplies & Services,Other Services,ALS ENVIRONMENTAL LIMITED,28/10/2014,240,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ESAB,Supplies & Services,Other Services,BIOGAS TECHNOLOGY LIMITED,28/10/2014,611.8,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ESAB,Supplies & Services,Other Services,Wrekin Pneumatics(Telford) Ltd,30/10/2014,157.6,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ETAA,Supplies & Services,Concessionary Travel,ARRIVA MIDLANDS NORTH LIMITED,23/10/2014,140922.6,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ETAF,Transport-Related Expenditure,Subsidised Routes,ARRIVA MIDLANDS NORTH LIMITED,01/10/2014,10200,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ETAF,Transport-Related Expenditure,Subsidised Routes,ARRIVA MIDLANDS NORTH LIMITED,02/10/2014,7670.8,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ETAF,Transport-Related Expenditure,Subsidised Routes,ARRIVA MIDLANDS NORTH LIMITED,02/10/2014,10001.75,,,
Neighbourhood & Leisure Services,Transport and Highway Development,ETAF,Transport-Related Expenditure,Subsidised Routes,ARRIVA MIDLANDS NORTH LIMITED,02/10/2014,7597.75,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WCAP,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,20/10/2014,247.5,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WCAP,Capital Expenditure,Payments to Contractor,PRYSMIAN CABLES & SYSTEMS LTD,24/10/2014,250,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WCBR,Capital Expenditure,Payments to Contractor,LEICESTERSHIRE CITY COUNCIL,07/10/2014,5000,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WCBR,Capital Expenditure,Payments to Contractor,RINGWAY INFRASTRUCTURE SERVICES LTD (69527857),09/10/2014,644199.39,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Fixtures & Fittings & Equipment,Geotechnical Instruments(UK) Ltd,23/10/2014,445,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Fixtures & Fittings & Equipment,ITMSOIL,09/10/2014,152,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Fixtures & Fittings & Equipment,ITMSOIL,31/10/2014,1147.85,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Other Capital Expenditure,BRITISH GAS SERVICES (COMMERCIAL) LTD,31/10/2014,208.06,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Other Capital Expenditure,PRYSMIAN CABLES & SYSTEMS LTD,23/10/2014,807.28,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Payments to Contractor,A HAND SERVICES (Dyno Rod) LTD,28/10/2014,7650,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/10/2014,1641.5,,,
Neighbourhood & Leisure Services,Transport and Highway Development,WDAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/10/2014,703.5,,,
